iter	RMSE
0	9.078722527
1	9.065319328
2	9.054306847
3	9.039617221
4	9.017410427
5	9.01044468
6	8.987135873
7	8.978896281
8	8.978896243
9	8.978896205
10	8.978896168
11	8.978896131
12	8.949684706
13	8.935780342
14	8.902013213
15	8.902013077
16	8.875979077
17	8.86868074
18	8.837925423
19	8.829016959
20	8.829016777
21	8.820783697
22	8.8142537
23	8.787675159
24	8.777819341
25	8.777819191
26	8.777819043
27	8.777818898
28	8.742923254
29	8.714791657
30	8.700511669
31	8.700511406
32	8.700511147
33	8.688601768
34	8.682952513
35	8.669073295
36	8.669073039
37	8.669072787
38	8.669072538
39	8.669072294
40	8.649253668
41	8.649253407
42	8.649253151
43	8.634049975
44	8.634049694
45	8.608602301
46	8.608601819
47	8.573313933
48	8.5733134
49	8.535779709
50	8.507802195
51	8.507801515
52	8.502143751
53	8.495128209
54	8.489623263
55	8.476408243
56	8.443051945
57	8.420231952
58	8.392950607
59	8.368957579
60	8.343398858
61	8.332700898
62	8.306977723
63	8.306976711
64	8.306975715
65	8.279081412
66	8.279080398
67	8.252805286
68	8.249518869
69	8.235722672
70	8.212633152
71	8.212631737
72	8.212630346
73	8.204837622
74	8.175476618
75	8.150342151
76	8.123799826
77	8.113300732
78	8.105178854
79	8.09030838
80	8.090306408
81	8.090304467
82	8.059149792
83	8.051625643
84	8.051623766
85	8.040866642
86	8.00817818
87	7.982163234
88	7.969105116
89	7.943888763
90	7.913157709
91	7.901873899
92	7.877741981
93	7.85498768
94	7.844808803
95	7.818053673
96	7.814769891
97	7.802042323
98	7.769708071
99	7.769705425
100	7.747305739
101	7.74138802
102	7.736184944
103	7.733586231
104	7.733583723
105	7.707225209
106	7.707222645
107	7.70722012
108	7.707217636
109	7.70399014
110	7.678706976
111	7.654073265
112	7.630346798
113	7.630343714
114	7.617523491
115	7.596016199
116	7.59047656
117	7.590473433
118	7.590470355
119	7.590467326
120	7.579662974
121	7.579660059
122	7.57965719
123	7.567001465
124	7.56699861
125	7.557181024
126	7.531323046
127	7.527472913
128	7.527470069
129	7.523403667
130	7.521496628
131	7.521493972
132	7.51022737
133	7.485665921
134	7.473053292
135	7.473050418
136	7.44965308
137	7.442407346
138	7.422505742
139	7.403106997
140	7.382965953
141	7.382962573
142	7.363967853
143	7.354632244
144	7.348306364
145	7.343915871
146	7.34391236
147	7.322841681
148	7.315652633
149	7.31564913
150	7.315645682
151	7.315642288
152	7.303131194
153	7.293268022
154	7.286272697
155	7.286269295
156	7.278825824
157	7.260159914
158	7.237519039
159	7.216254543
160	7.210478151
161	7.210474587
162	7.185179462
163	7.16620339
164	7.14516033
165	7.144089888
166	7.138253903
167	7.11470061
168	7.114696395
169	7.114692246
170	7.107766231
171	7.107762377
172	7.107758583
173	7.107754849
174	7.090431133
175	7.086200538
176	7.081661604
177	7.06126645
178	7.05516701
179	7.055162688
180	7.035001899
181	7.032008126
182	7.032003906
183	7.024269355
184	7.024265303
185	7.008267351
186	6.997412369
187	6.99607918
188	6.97512561
189	6.955656056
190	6.952129275
191	6.952124567
192	6.952119932
193	6.943418764
194	6.940640787
195	6.9319068
196	6.909387069
197	6.909382108
198	6.909377225
199	6.891836255
200	6.886576603
201	6.880337391
202	6.863064962
203	6.855604936
204	6.848393147
205	6.84078683
206	6.824150017
207	6.82414525
208	6.813144644
209	6.813139951
210	6.813135333
211	6.813130787
212	6.795445539
213	6.775023128
214	6.773127551
215	6.754224837
216	6.744272397
217	6.725707321
218	6.71244542
219	6.712439495
220	6.696140578
221	6.691553442
222	6.688425065
223	6.665278479
224	6.658532772
225	6.658527122
226	6.658521561
227	6.658516088
228	6.638017808
229	6.638012235
230	6.638006749
231	6.63800135
232	6.628737535
233	6.628732252
234	6.611595186
235	6.605016669
236	6.58449576
237	6.58035698
238	6.580351591
239	6.575746982
240	6.575741721
241	6.557704562
242	6.541385325
243	6.537656636
244	6.537650927
245	6.517788722
246	6.517782924
247	6.517777218
248	6.507625268
249	6.484157155
250	6.4841513
251	6.484145537
252	6.484139865
253	6.470235603
254	6.467132017
255	6.454676061
256	6.454669995
257	6.454664025
258	6.447618945
259	6.442633267
260	6.442627402
261	6.426993885
262	6.422376143
263	6.42237032
264	6.422364587
265	6.422358945
266	6.4091246
267	6.402446194
268	6.38487319
269	6.378819183
270	6.361937568
271	6.346251401
272	6.346245316
273	6.334673366
274	6.334667384
275	6.327354154
276	6.318447676
277	6.306504728
278	6.300552741
279	6.295994356
280	6.2824873
281	6.26755308
282	6.252691565
283	6.251463315
284	6.246924138
285	6.233109986
286	6.215132761
287	6.215127258
288	6.215121841
289	6.209655918
290	6.191175357
291	6.191169228
292	6.191163195
293	6.170921802
294	6.170915677
295	6.170909649
296	6.165573915
297	6.158866186
298	6.158860375
299	6.158854656
300	6.147318535
301	6.143356049
302	6.143350499
303	6.14152784
304	6.141522432
305	6.141517109
306	6.139721484
307	6.135821737
308	6.131226087
309	6.124720983
310	6.120992678
