iter	Passed	Remaining
0	0	119
1	0	81
2	0	71
3	0	66
4	0	108
5	0	96
6	0	110
7	0	102
8	0	93
9	0	86
10	0	80
11	0	75
12	0	73
13	1	71
14	1	76
15	1	72
16	1	71
17	1	69
18	1	68
19	1	67
20	1	65
21	1	66
22	1	65
23	1	64
24	1	63
25	1	62
26	1	60
27	1	59
28	1	58
29	1	58
30	1	60
31	1	58
32	1	57
33	2	57
34	2	56
35	2	55
36	2	55
37	2	54
38	2	53
39	2	52
40	2	52
41	2	52
42	2	51
43	2	51
44	2	50
45	2	51
46	2	50
47	2	50
48	2	49
49	2	56
50	3	56
51	3	56
52	3	55
53	3	55
54	3	54
55	3	54
56	3	55
57	3	54
58	3	54
59	4	70
60	5	88
61	5	87
62	5	86
63	5	85
64	5	84
65	5	84
66	5	83
67	6	82
68	6	81
69	6	81
70	6	81
71	6	80
72	6	79
73	6	78
74	6	79
75	6	79
76	6	79
77	6	78
78	6	78
79	6	78
80	6	77
81	6	77
82	6	77
83	7	76
84	7	75
85	7	75
86	7	77
87	7	79
88	7	79
89	7	79
90	7	79
91	7	78
92	8	79
93	8	78
94	8	78
95	8	80
96	8	79
97	8	79
98	8	79
99	8	78
100	8	78
101	8	77
102	8	77
103	8	76
104	8	76
105	9	76
106	9	76
107	9	75
108	9	74
109	9	74
110	9	75
111	9	76
112	9	76
113	9	76
114	9	76
115	9	75
116	9	75
117	9	74
118	10	74
119	10	73
120	10	73
121	10	72
122	10	72
123	10	72
124	10	72
125	10	71
126	10	72
127	10	71
128	10	71
129	10	70
130	10	70
131	10	70
132	10	69
133	12	81
134	12	81
135	12	81
136	12	80
137	12	80
138	12	80
139	13	80
140	13	79
141	13	79
142	13	79
143	13	78
144	13	78
145	13	78
146	13	77
147	13	77
148	13	77
149	13	76
150	13	76
151	13	75
152	13	75
153	13	75
154	13	74
155	13	74
156	13	73
157	13	73
158	13	73
159	14	73
160	14	73
161	14	72
162	14	73
163	14	72
164	14	72
165	14	72
166	14	72
167	14	72
168	14	71
169	14	71
170	14	71
171	14	70
172	14	70
173	14	69
174	14	69
175	14	69
176	14	68
177	15	71
178	15	70
179	15	70
180	15	70
181	15	69
182	15	69
183	15	69
184	15	68
185	15	69
186	15	68
187	15	68
188	15	68
189	15	68
190	16	67
191	16	67
192	16	67
193	16	66
194	16	66
195	16	66
196	16	67
197	16	66
198	16	66
199	16	66
200	16	65
201	16	65
202	16	65
203	16	65
204	16	64
205	16	64
206	16	64
207	16	64
208	16	64
209	16	63
210	16	63
211	17	63
212	17	62
213	17	65
214	17	65
215	18	65
216	18	65
217	18	66
218	18	66
219	18	65
220	18	65
221	18	65
