iter	RMSE
0	9.132880586
1	8.98967005
2	8.943863304
3	8.853860438
4	8.585382041
5	8.527505259
6	8.370849001
7	8.322625735
8	8.322616934
9	8.322609318
10	8.322602726
11	8.322597021
12	8.095837211
13	8.027589907
14	7.807158984
15	7.807127844
16	7.613050076
17	7.583340563
18	7.379640582
19	7.33326479
20	7.333236529
21	7.288930928
22	7.266692715
23	7.126373553
24	7.08454551
25	7.084529299
26	7.084515268
27	7.084503126
28	6.88227805
29	6.724513373
30	6.66187363
31	6.661853712
32	6.661836475
33	6.624297136
34	6.612871879
35	6.589285446
36	6.589275336
37	6.589266587
38	6.589259015
39	6.589252462
40	6.50567293
41	6.50566811
42	6.505663939
43	6.45649851
44	6.456494912
45	6.330410067
46	6.330386945
47	6.171890527
48	6.171867717
49	5.977456554
50	5.977422176
51	5.951952912
52	5.919313269
53	5.919289326
54	5.896656505
55	5.879558466
56	5.851838282
57	5.701205572
58	5.62121315
59	5.519584369
60	5.425360694
61	5.419955114
62	5.343437094
63	5.341975104
64	5.34194262
65	5.318128821
66	5.275244277
67	5.2752199
68	5.275198803
69	5.209585947
70	5.209566542
71	5.173552321
72	5.089627419
73	5.031835443
74	5.031812925
75	5.003486467
76	5.003464824
77	5.003446094
78	4.998525456
79	4.909523365
80	4.836236849
81	4.760338905
82	4.74591581
83	4.72459374
84	4.701074737
85	4.701056476
86	4.701040673
87	4.62061481
88	4.607170058
89	4.607155967
90	4.558593091
91	4.449671113
92	4.346370466
93	4.311076572
94	4.311034238
95	4.243794671
96	4.213227431
97	4.158729277
98	4.094059539
99	4.026665757
100	4.014470617
101	3.952878755
102	3.947431381
103	3.938368938
104	3.885257483
105	3.885221047
106	3.844988204
107	3.833314921
108	3.82945211
109	3.817593712
110	3.817562973
111	3.764013175
112	3.763986667
113	3.763963726
114	3.763943872
115	3.758294097
116	3.680552913
117	3.635396368
118	3.616784186
119	3.616753158
120	3.593641763
121	3.57350795
122	3.571247259
123	3.571224932
124	3.571205609
125	3.571188887
126	3.556455121
127	3.556438843
128	3.556424755
129	3.530026471
130	3.530013703
131	3.523312702
132	3.479537739
133	3.478344404
134	3.478332979
135	3.4746197
136	3.46491856
137	3.4649094
138	3.456719584
139	3.390866634
140	3.387028892
141	3.35494612
142	3.340547741
143	3.339625438
144	3.339615472
145	3.33873183
146	3.321057937
147	3.301738045
148	3.301726537
149	3.2842155
150	3.272906387
151	3.263836877
152	3.250666843
153	3.250656028
154	3.236153075
155	3.232993481
156	3.232987877
157	3.232983027
158	3.23297883
159	3.221698406
160	3.220874291
161	3.218198309
162	3.218196263
163	3.213354404
164	3.197252856
165	3.166072211
166	3.134939723
167	3.129286433
168	3.129283451
169	3.084472681
170	3.077960917
171	3.061914723
172	3.055333699
173	3.05248032
174	3.044810088
175	3.044804765
176	3.044800158
177	3.031783258
178	3.031780225
179	3.031777601
180	3.03177533
181	3.022034914
182	3.018015144
183	3.014510007
184	2.982884738
185	2.982881388
186	2.982878488
187	2.970456542
188	2.967520992
189	2.966773521
190	2.966771486
191	2.962519503
192	2.962518547
193	2.926065011
194	2.91722956
195	2.912081985
196	2.894078406
197	2.881613826
198	2.878457302
199	2.878456102
200	2.878455064
201	2.877434827
202	2.877016102
203	2.876347708
204	2.839453479
205	2.839452228
206	2.839451146
207	2.829386386
208	2.827342121
209	2.826170508
210	2.816049533
211	2.812978351
212	2.811165226
213	2.804824166
214	2.792372624
215	2.7923719
216	2.781857048
217	2.781856092
218	2.781855265
219	2.781854549
220	2.773004948
