iter	Passed	Remaining
0	0	125
1	0	88
2	0	76
3	0	72
4	0	134
5	0	119
6	1	142
7	1	131
8	1	119
9	1	109
10	1	101
11	1	94
12	1	91
13	1	88
14	1	95
15	1	90
16	1	88
17	1	86
18	1	85
19	1	83
20	1	80
21	1	80
22	1	78
23	1	77
24	1	76
25	1	74
26	2	72
27	2	70
28	2	70
29	2	69
30	2	71
31	2	70
32	2	68
33	2	68
34	2	67
35	2	66
36	2	65
37	2	63
38	2	62
39	2	61
40	2	62
41	2	61
42	2	60
43	2	60
44	2	59
45	2	60
46	2	59
47	2	59
48	3	58
49	3	68
50	3	67
51	3	67
52	3	66
53	3	65
54	3	65
55	3	64
56	3	64
57	4	65
58	4	64
59	4	64
60	4	72
61	4	71
62	5	75
63	5	74
64	5	73
65	5	73
66	5	72
67	5	71
68	5	71
69	5	70
70	5	69
71	5	69
72	5	69
73	5	69
74	5	68
75	5	68
76	5	68
77	5	67
78	5	66
79	5	68
80	6	69
81	6	68
82	6	68
83	6	68
84	6	68
85	6	67
86	6	67
87	6	67
88	6	66
89	6	66
90	6	66
91	6	68
92	7	71
93	7	71
94	7	71
95	7	71
96	7	71
97	7	71
98	7	72
99	8	72
100	8	71
101	8	74
102	8	74
103	8	74
104	8	74
105	8	73
106	8	73
107	8	73
108	8	72
109	8	72
110	8	71
111	9	72
112	9	72
113	9	71
114	9	71
115	9	70
116	9	72
117	9	74
118	10	74
119	10	74
120	10	74
121	10	73
122	10	73
123	10	72
124	10	72
125	10	71
126	10	71
127	10	71
128	10	70
129	10	71
130	10	70
131	10	70
132	10	71
133	11	71
134	11	70
135	11	70
136	11	70
137	11	69
138	11	69
139	12	74
140	12	74
141	12	74
142	12	74
143	12	74
144	12	73
145	12	73
146	12	73
147	12	73
148	12	72
149	12	72
150	12	72
151	12	72
152	13	72
153	13	71
154	13	71
155	13	71
156	13	70
157	13	70
158	13	70
159	13	69
160	13	69
161	13	69
162	13	68
163	13	68
164	13	68
165	13	68
166	13	68
167	13	68
168	13	68
169	14	68
170	14	68
171	14	68
172	14	67
173	14	67
174	14	67
175	14	67
176	14	67
177	14	66
178	14	66
179	14	66
180	14	65
181	14	65
182	14	65
183	14	65
184	14	65
185	14	65
186	14	65
187	15	64
188	15	64
189	15	64
190	15	64
191	15	64
192	15	63
193	15	64
194	15	64
195	15	63
196	15	63
197	15	63
198	15	63
199	15	63
200	15	62
201	15	62
202	15	62
203	15	62
204	16	62
205	16	62
206	16	62
207	16	62
208	16	61
209	16	61
210	16	61
211	16	61
212	16	61
213	16	60
214	16	60
215	16	60
216	16	60
217	16	60
218	16	60
219	16	59
220	16	59
221	17	61
222	17	61
223	17	62
224	18	62
225	18	62
226	18	62
227	18	61
228	18	61
229	18	61
230	18	61
231	18	61
232	18	61
233	18	60
234	18	60
235	18	60
236	18	60
237	18	60
238	18	59
239	18	59
240	18	59
241	18	59
242	19	59
243	19	58
244	19	58
245	19	58
246	19	58
247	19	58
248	19	58
249	19	58
250	19	58
251	19	57
252	19	57
253	20	59
254	20	59
255	20	58
256	20	58
257	20	58
258	20	58
259	20	58
260	20	58
261	20	58
262	20	58
263	20	57
264	20	57
265	20	57
266	20	57
267	20	57
268	21	57
269	21	56
270	21	56
271	21	56
272	21	56
273	21	56
274	21	56
275	21	55
276	21	55
277	21	55
278	21	55
279	21	55
280	21	54
281	21	54
282	21	54
283	21	54
284	21	54
285	21	54
286	21	54
287	21	54
288	21	53
289	21	53
290	22	53
291	22	53
292	22	53
293	22	53
294	22	53
295	22	52
296	22	52
297	22	52
298	22	52
299	22	52
300	22	52
301	22	52
302	22	52
303	22	52
304	22	52
305	22	52
306	23	53
307	23	53
308	23	53
309	23	52
310	23	52
311	23	52
312	23	52
313	23	52
314	24	52
